hour symbol vwap
"2019-01-30 14:00:00+00:00" T 29.51
"2019-01-30 14:00:00+00:00" SYK 177.12
"2019-01-30 14:00:00+00:00" CI 199.22
"2019-01-30 14:00:00+00:00" HON 141.56
"2019-01-30 14:00:00+00:00" EA 87.4
"2019-01-30 14:00:00+00:00" PSEC 6.7
"2019-01-30 14:00:00+00:00" V 135.85
"2019-01-30 14:00:00+00:00" NFLX 334.89
"2019-01-30 14:00:00+00:00" HEAR 14.4
"2019-01-30 14:00:00+00:00" IWM 146.52
"2019-01-30 14:00:00+00:00" CIEN 37.59
"2019-01-30 14:00:00+00:00" RCL 118.22
"2019-01-30 14:00:00+00:00" GS 200.33
"2019-01-30 14:00:00+00:00" GASL 7.97
"2019-01-30 14:00:00+00:00" PDD 29.71
"2019-01-30 14:00:00+00:00" RYAAY 70.14
"2019-01-30 14:00:00+00:00" TECL 97.46
"2019-01-30 14:00:00+00:00" AMD 21.95
"2019-01-30 14:00:00+00:00" ELP 9.85
"2019-01-30 14:00:00+00:00" RWT 15.83
"2019-01-30 14:00:00+00:00" MSFT 104.68
"2019-01-30 14:00:00+00:00" FB 146.72
"2019-01-30 14:00:00+00:00" VALE 12.46
"2019-01-30 14:00:00+00:00" EKSO 2.04
"2019-01-30 14:00:00+00:00" FPAY 0.78
"2019-01-30 14:00:00+00:00" ILMN 276.99
"2019-01-30 14:00:00+00:00" SQ 70.43
"2019-01-30 14:00:00+00:00" AMAT 38.81
"2019-01-30 14:00:00+00:00" AGN 142.61
"2019-01-30 14:00:00+00:00" RCKT 13.58
"2019-01-30 14:00:00+00:00" DOMO 25.09
"2019-01-30 14:00:00+00:00" IQ 19.21
"2019-01-30 14:00:00+00:00" GOOS 50.08
"2019-01-30 14:00:00+00:00" RWLK 0.28
"2019-01-30 14:00:00+00:00" INTC 46.58
"2019-01-30 14:00:00+00:00" GOOGL 1083.06
"2019-01-30 14:00:00+00:00" AZUL 28.5
"2019-01-30 14:00:00+00:00" VGT 177.07
"2019-01-30 14:00:00+00:00" FNDF 27.48
"2019-01-30 14:00:00+00:00" MDSO 68.38
"2019-01-30 14:00:00+00:00" JNPR 25.42
"2019-01-30 14:00:00+00:00" LLL 194.8
"2019-01-30 14:00:00+00:00" ROKU 43.45
"2019-01-30 14:00:00+00:00" JNUG 10.47
"2019-01-30 14:00:00+00:00" QTT 9.39
"2019-01-30 14:00:00+00:00" SBUX 67.78
"2019-01-30 14:00:00+00:00" ANET 208.01
"2019-01-30 14:00:00+00:00" EBAY 33.71
"2019-01-30 14:00:00+00:00" BIDU 166.03
"2019-01-30 14:00:00+00:00" FTI 22.93
"2019-01-30 14:00:00+00:00" NOW 188.73
"2019-01-30 14:00:00+00:00" F 8.56
"2019-01-30 14:00:00+00:00" GUSH 11.26
"2019-01-30 14:00:00+00:00" TUP 29.1
"2019-01-30 14:00:00+00:00" CRSP 31.39
"2019-01-30 14:00:00+00:00" M 25.67
"2019-01-30 14:00:00+00:00" CZR 8.94
"2019-01-30 14:00:00+00:00" TROV 0.67
"2019-01-30 14:00:00+00:00" HPQ 22.11
"2019-01-30 14:00:00+00:00" SPY 264.96
"2019-01-30 14:00:00+00:00" DWDP 59.06
"2019-01-30 14:00:00+00:00" EGHT 16.79
"2019-01-30 14:00:00+00:00" ULTA 288.67
